t=50;t=150;t=700;t=1000
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
-0.014549993;0;0;0
-0.001106736;0;0;0
0.01867153;0;0;0
0.01754431;0;0;0
0.021930423;0;0;0
0.065036748;0;0;0
0.084064668;0;0;0
0.083881685;0;0;0
0.06335968;0;0;0
0.045413344;0;0;0
0.03307002;0;0;0
0.002143486;0;0;0
-0.008565089;0;0;0
-0.011821808;0;0;0
-0.019210701;0;0;0
0.004264399;0;0;0
0.026696382;0;0;0
0.062184957;0;0;0
0.067950729;0;0;0
0.061014313;0;0;0
0.007280389;0;0;0
-0.01029862;0;0;0
-0.01520537;0;0;0
-0.071317332;0;0;0
-0.068452794;0;0;0
-0.066822479;0;0;0
-0.159064786;0;0;0
-0.223553908;0;0;0
-0.204567297;0;0;0
-0.170987182;0;0;0
-0.181647205;0;0;0
-0.191922668;0;0;0
-0.180709891;0;0;0
-0.155515477;0;0;0
-0.130445902;0;0;0
-0.108939119;0;0;0
-0.109329791;0;0;0
-0.119678865;0;0;0
-0.095565798;0;0;0
-0.069553695;0;0;0
-0.083902769;0;0;0
-0.100842997;0;0;0
-0.097855887;0;0;0
-0.103110796;0;0;0
-0.108189528;0;0;0
-0.114695085;0;0;0
-0.151519601;0;0;0
-0.140056926;0;0;0
-0.094879178;0;0;0
-0.056441593;0;0;0
-0.013730249;0;0;0
-0.014571974;0;0;0
-0.037498384;0;0;0
-0.048157216;0;0;0
-0.035898755;0;0;0
-0.058000662;0;0;0
-0.063121026;0;0;0
-0.045421182;0;0;0
-0.060841659;0;0;0
-0.054067446;0;0;0
-0.07791405;0;0;0
-0.051671768;0;0;0
-0.045231692;0;0;0
