dt=50;dt=150;dt=700;dt=2000
0.0251587;0.0250121;0.0221905;0.0197666
0.0357996;0.0357335;0.0315465;0.0281658
0.0443732;0.0444505;0.0390119;0.0347426
0.0516025;0.0518271;0.0448145;0.0399934
0.0578412;0.0580668;0.0499315;0.0444585
0.0637713;0.0638994;0.0543682;0.0487213
0.0687979;0.0687541;0.058415;0.052587
0.073329;0.0733161;0.0623082;0.0561667
0.077685;0.0777989;0.0659545;0.0593661
0.0820839;0.0823776;0.0694628;0.0625054
0.086173;0.0864055;0.0726299;0.0652659
0.0899745;0.0905061;0.0757587;0.0683519
0.0940016;0.0949014;0.0788976;0.0715655
0.098181;0.099098;0.0819529;0.0746697
0.1023708;0.1035242;0.0849932;0.0776765
0.1063996;0.1074141;0.0878457;0.0806849
0.1105809;0.1112156;0.090611;0.0836781
0.1145524;0.1151048;0.0932002;0.0863081
0.1181868;0.118747;0.0955964;0.0888587
0.1216836;0.122127;0.098127;0.0914601
0.1252856;0.1256693;0.1004624;0.0939671
0.1285233;0.1290114;0.1025597;0.0963565
0.1318582;0.1322543;0.1047792;0.0985866
0.1351398;0.1354682;0.1072164;0.1009081
0.138241;0.1386313;0.1097745;0.1033633
0.1414237;0.1419248;0.1121934;0.1058261
0.1444476;0.1452464;0.1148155;0.1083232
0.1473535;0.1484537;0.1174815;0.1107755
0.1501892;0.1514544;0.1200642;0.1132548
0.1527502;0.1544515;0.1225259;0.1155665
0.155194;0.1572347;0.1251135;0.1178615
0.1576188;0.1601304;0.1277611;0.1204552
0.1599157;0.1629891;0.1300253;0.1229762
0.1623242;0.1654798;0.1324124;0.1253761
0.1645826;0.1679107;0.1347728;0.1276225
0.167056;0.1702463;0.1370023;0.1298442
0.1693915;0.1727583;0.1394497;0.1319196
0.1715995;0.1749653;0.1416895;0.1340079
0.1737592;0.1773209;0.1436027;0.1359993
0.1758718;0.1796263;0.1455706;0.1379849
0.1781627;0.1821387;0.1475662;0.1400607
0.1803167;0.1844561;0.1495037;0.1419541
0.1823836;0.1867063;0.1514321;0.1437539
0.1845363;0.1889442;0.1531628;0.1457233
0.186663;0.1912067;0.1551005;0.1473617
0.1888837;0.193404;0.1569867;0.1491479
0.1911115;0.1955014;0.1586092;0.1508561
0.1930339;0.1972738;0.160308;0.1525045
0.1951049;0.1991585;0.1622409;0.1541471
0.1973398;0.2010822;0.1642372;0.1558586
0.1969864;0.2030665;0.1662739;0.1574861
0.1966602;0.2049971;0.168601;0.1591951
0.1963746;0.2068144;0.1708755;0.1610157
0.1959435;0.2089158;0.1731117;0.1627519
0.1954443;0.2109558;0.1753534;0.1645639
0.1948524;0.2128295;0.177434;0.1661677
0.1943657;0.2146956;0.1796269;0.1676661
0.1941556;0.2163769;0.1820107;0.1692013
0.1938336;0.2180266;0.1843807;0.1709449
0.1933482;0.2196066;0.1863053;0.1725649
0.1930222;0.2213445;0.1881902;0.1741911
0.1926235;0.2231407;0.1899625;0.1757956
0.1921756;0.2248549;0.1917262;0.1773718
0.1913955;0.2263523;0.1933231;0.1788779
0.1905465;0.2277189;0.1950827;0.1803767
0.1898214;0.2291821;0.1967088;0.1819115
0.1891423;0.2305159;0.1985647;0.1834833
0.1885899;0.2317506;0.2003609;0.1851461
0.1881128;0.233018;0.2022379;0.1865723
0.1876557;0.2345596;0.2041415;0.1881312
0.1867816;0.2358288;0.2058872;0.1895286
0.1859883;0.2370025;0.2075625;0.1907976
0.1853029;0.2380962;0.2092631;0.1919175
0.1845457;0.2391304;0.2111005;0.1931008
0.183807;0.2400379;0.2128872;0.1943291
0.1830581;0.2410861;0.2147627;0.1955339
0.1824273;0.2420304;0.2166746;0.1969246
0.1818784;0.2431455;0.2186116;0.1984436
0.1812067;0.2443368;0.2205739;0.1998943
0.1805938;0.2456919;0.2224308;0.2013669
0.1801268;0.2468558;0.2243059;0.2026431
0.1796002;0.2482771;0.2262133;0.2039846
0.1792614;0.2496328;0.2280467;0.2053059
0.1786933;0.2510729;0.2300598;0.2066371
0.1781066;0.252416;0.231879;0.2079522
0.1773695;0.2534679;0.2336658;0.2093249
0.1765409;0.2546075;0.2353739;0.2105478
0.1759528;0.2559326;0.2371827;0.2117272
0.1751704;0.2570931;0.2386775;0.2129546
0.1745025;0.2581628;0.2402217;0.2143214
0.1735048;0.2591801;0.2417422;0.2157331
0.1726629;0.2602996;0.243238;0.2169956
0.1716937;0.2615172;0.2447516;0.2183114
0.1706724;0.26282;0.2463364;0.2195988
0.1696515;0.2641283;0.247918;0.2208418
0.1683815;0.2656531;0.2495285;0.2220885
0.1673758;0.2671807;0.2510082;0.2231379
0.1661551;0.2686205;0.2526313;0.2243007
0.1650743;0.2699262;0.2544171;0.2255761
0.1641162;0.2711315;0.2562263;0.2267867
0.1639467;0.2724379;0.2581117;0.2279316
0.1637469;0.2736516;0.2601049;0.2291332
0.1637297;0.2747736;0.2620269;0.2301989
0.1636575;0.2760024;0.2639516;0.2312589
0.1635685;0.27728;0.2658307;0.2324239
0.1634647;0.27866;0.2676566;0.2334693
0.1632036;0.2799634;0.2693676;0.2345072
0.1630583;0.2813713;0.2710928;0.2354576
0.1633134;0.2827351;0.2726785;0.236569
0.1635454;0.2838944;0.2743497;0.2376551
0.1636502;0.2850647;0.2760019;0.2388529
0.1636682;0.2860738;0.2776612;0.2398699
0.1636774;0.2871291;0.2793322;0.2409016
0.1640163;0.2880916;0.281076;0.2420527
0.1645498;0.2892711;0.2827603;0.2431395
0.1650144;0.2904495;0.2844403;0.2442407
0.1653477;0.291704;0.2862726;0.2454525
0.1656165;0.2928197;0.2880857;0.2465793
0.165941;0.294012;0.2898375;0.2476396
0.1661971;0.2952786;0.2915577;0.2488353
0.1664547;0.2964137;0.293224;0.2499808
0.166805;0.2976431;0.2948669;0.2511459
0.1672473;0.2991301;0.2965011;0.252292
0.1677015;0.3007812;0.2982373;0.2533924
0.1684059;0.3023303;0.299997;0.2544001
0.1689026;0.3037757;0.3016252;0.2555376
0.1696923;0.3051533;0.303295;0.2565303
0.1702754;0.306321;0.3048824;0.2575925
0.170794;0.3074817;0.3063633;0.2587279
0.1711244;0.3085548;0.3079709;0.2597833
0.1714227;0.309522;0.3094697;0.2608909
0.1715908;0.3105059;0.3110665;0.2618758
0.1718889;0.3113735;0.3126175;0.2629608
0.1721641;0.3123036;0.3141458;0.2639083
0.1722786;0.3132022;0.3156371;0.2649281
0.1725826;0.3139361;0.3170372;0.2657822
0.1727559;0.3148827;0.3185564;0.2666041
0.1732092;0.3158552;0.3200292;0.2674172
0.1734394;0.3167058;0.3215297;0.2681375
0.1737052;0.3174624;0.3229464;0.2689967
0.174127;0.3183629;0.3244474;0.2698167
0.1746016;0.3192517;0.3259933;0.2706656
0.1749936;0.3199411;0.3275087;0.2715708
0.1755281;0.3206637;0.3291185;0.2724172
0.1760773;0.3215098;0.3306394;0.2732467
0.1763695;0.3223795;0.3321709;0.2741492
0.1767796;0.3232842;0.3337114;0.2751248
0.1769956;0.3240863;0.3353476;0.2761105
0.1771576;0.3250084;0.3370274;0.277171
0.1774829;0.325192;0.3387299;0.2783395
0.1776206;0.3255143;0.34044;0.2795153
0.1776912;0.3249162;0.3421602;0.2807716
0.1775467;0.3243323;0.3438291;0.2819848
0.1776856;0.3238613;0.3455189;0.2831798
0.1776648;0.3234822;0.3471598;0.2842846
0.1776202;0.3231385;0.3488347;0.2852829
0.1775564;0.3228455;0.3504934;0.2863328
0.1774833;0.3225639;0.3520376;0.2874167
0.1772494;0.322088;0.3534394;0.2885885
0.1770608;0.3216928;0.3548552;0.2896532
0.1767363;0.3211676;0.3563272;0.2905912
0.1766384;0.320401;0.3577825;0.2916108
0.1763006;0.3195867;0.359147;0.2927178
0.1757888;0.3185612;0.3604737;0.2936149
0.1750026;0.3176284;0.3618395;0.2945132
0.1742519;0.3166467;0.3632927;0.2954042
0.1734501;0.3157146;0.3646798;0.2963729
0.1725467;0.314701;0.365994;0.2974283
0.1715309;0.313848;0.3673199;0.2986434
0.1704649;0.3130696;0.368672;0.2997821
0.1692438;0.3122313;0.3700245;0.301118
0.1681454;0.3113606;0.3713557;0.3023785
0.1669379;0.3104163;0.3727239;0.3035751
0.1657314;0.3094454;0.3741377;0.3049558
0.1645367;0.3084669;0.3755208;0.3062469
0.1631992;0.3074097;0.3768117;0.3075536
0.1619401;0.3063583;0.3781423;0.3089095
0.1608314;0.3052805;0.3794576;0.3101985
0.1596171;0.3041308;0.3806602;0.3115101
0.1583515;0.3031758;0.3819055;0.3128017
0.1570804;0.3022386;0.3831197;0.3141778
0.155972;0.301389;0.3843653;0.3155003
0.1550595;0.3005265;0.3854434;0.3168404
0.154119;0.2997525;0.3865111;0.3181785
0.15318;0.2989215;0.3875978;0.3195888
0.1523957;0.2980324;0.3886205;0.3209791
0.151825;0.2971587;0.3897363;0.3224857
0.1512132;0.2962332;0.3907089;0.3238873
0.1507883;0.2955446;0.3918003;0.3253726
0.1501446;0.2948307;0.3929282;0.3268579
0.1495251;0.2939381;0.3941879;0.3282807
0.1488369;0.2928503;0.3954307;0.3297376
0.1483316;0.2918976;0.3965991;0.331116
0.147789;0.2909406;0.3979314;0.3325984
0.1472425;0.2900784;0.3993265;0.3340834
0.1467618;0.2894104;0.4005258;0.3354781
0.1461261;0.2887473;0.4017936;0.3368794
0.1455994;0.2881814;0.4031539;0.3383479
0.1453382;0.2875194;0.4045688;0.3398042
0.1452902;0.2868777;0.4059653;0.3411957
0.1450923;0.2862743;0.4073063;0.3426205
0.1450699;0.2857221;0.4086407;0.3440918
0.1451915;0.2852732;0.4100187;0.3455656
0.1453289;0.2846492;0.4113142;0.3468743
0.1454025;0.2841546;0.4125659;0.348214
0.1454973;0.2836791;0.4138443;0.3496186
0.145902;0.2832558;0.4151769;0.3510825
0.1461444;0.2827988;0.4164847;0.3525883
0.1465636;0.2823141;0.4177456;0.354152
0.1469966;0.2817896;0.4189232;0.3556656
0.1471951;0.2812166;0.420114;0.3571956
0.1473736;0.2805815;0.4212118;0.3587462
0.1475284;0.2800367;0.422487;0.3604185
0.1478045;0.279421;0.4237881;0.3620675
0.1482613;0.2790098;0.4250487;0.3636466
0.1484723;0.2786201;0.4263158;0.3652323
0.1487011;0.2781129;0.4275676;0.3667429
0.1489315;0.2776924;0.4289321;0.3682895
0.149236;0.277437;0.4302301;0.3698754
0.1497067;0.2772961;0.4316199;0.3714891
0.1499953;0.2770386;0.4329132;0.3729467
0.1503976;0.2768046;0.4342389;0.3743848
0.1511187;0.2763992;0.4356;0.3759006
