voltage,motion,temperature,sound,voc,illuminace,humidity,timestamp
6.68,54,24.33,52.77,29,538.92,32.14,2021-10-23T12:08:31.058059
6.68,54,24.33,52.77,29,539.7,32.14,2021-10-23T12:08:31.107691
6.68,39,24.33,52.77,29,539.7,32.14,2021-10-23T12:08:31.116615
6.68,39,24.33,52.77,29,539.7,32.14,2021-10-23T12:08:31.127926
6.68,39,24.33,52.77,29,539.7,32.14,2021-10-23T12:08:31.129839
6.68,39,24.33,52.77,29,539.7,32.14,2021-10-23T12:08:31.171318
6.46,39,24.33,52.77,29,539.7,32.14,2021-10-23T12:08:31.197900
6.46,39,24.33,52.77,29,539.7,32.14,2021-10-23T12:08:31.214209
6.46,39,24.31,52.77,29,539.7,32.14,2021-10-23T12:08:31.548338
6.46,39,24.31,52.77,29,539.7,32.14,2021-10-23T12:08:31.561960
6.46,39,24.31,49.42,29,539.7,32.14,2021-10-23T12:08:32.541210
6.46,39,24.31,49.42,29,10.53,32.14,2021-10-23T12:08:32.587627
6.46,39,24.31,49.42,29,10.53,32.14,2021-10-23T12:08:32.588797
6.46,39,24.31,49.42,29,10.53,32.14,2021-10-23T12:08:32.602125
6.46,44,24.31,49.42,29,10.53,32.14,2021-10-23T12:08:32.644163
6.46,44,24.31,49.42,29,10.53,32.14,2021-10-23T12:08:32.648891
6.86,44,24.31,49.42,29,10.53,32.14,2021-10-23T12:08:32.750825
6.86,44,24.31,49.42,29,10.53,32.14,2021-10-23T12:08:32.791979
6.86,44,24.31,60.47,29,10.53,32.14,2021-10-23T12:08:32.911974
6.86,44,24.31,60.47,29,538.53,32.14,2021-10-23T12:08:32.926916
6.86,44,24.31,60.47,29,538.53,32.14,2021-10-23T12:08:33.023304
6.86,41,24.31,60.47,29,538.53,32.14,2021-10-23T12:08:33.040265
6.86,41,24.31,60.47,29,538.53,32.14,2021-10-23T12:08:33.045779
6.86,41,24.31,60.47,29,538.53,32.14,2021-10-23T12:08:33.081159
6.86,41,24.3,60.47,29,538.53,32.14,2021-10-23T12:08:33.674799
6.86,41,24.3,60.47,29,538.53,32.14,2021-10-23T12:08:33.710439
6.95,41,24.3,60.47,29,538.53,32.14,2021-10-23T12:08:34.493543
6.95,41,24.3,60.47,29,538.53,32.14,2021-10-23T12:08:34.545816
6.95,41,24.3,56.47,29,538.53,32.14,2021-10-23T12:08:34.739285
6.95,41,24.3,56.47,29,538.53,32.14,2021-10-23T12:08:34.747996
6.95,55,24.3,56.47,29,538.53,32.14,2021-10-23T12:08:34.855337
6.95,55,24.3,56.47,29,538.53,32.14,2021-10-23T12:08:34.869096
6.95,55,24.3,56.99,29,538.53,32.14,2021-10-23T12:08:35.088905
6.95,55,24.3,56.99,29,538.53,32.14,2021-10-23T12:08:35.159717
6.95,112,24.3,56.99,29,538.53,32.14,2021-10-23T12:08:35.184284
6.95,112,24.3,56.99,29,538.53,32.14,2021-10-23T12:08:35.192560
6.95,112,24.31,56.99,29,538.53,32.14,2021-10-23T12:08:35.398775
6.95,112,24.31,56.99,29,538.53,32.14,2021-10-23T12:08:35.429355
6.61,112,24.31,56.99,29,538.53,32.14,2021-10-23T12:08:36.249477
6.61,112,24.31,56.99,29,538.53,32.14,2021-10-23T12:08:36.436407
6.61,112,24.31,47.46,29,538.53,32.14,2021-10-23T12:08:36.820830
6.61,112,24.31,47.46,29,539.31,32.14,2021-10-23T12:08:36.849584
6.61,112,24.31,47.46,31,539.31,32.14,2021-10-23T12:08:36.858240
6.61,112,24.31,47.46,31,539.31,32.14,2021-10-23T12:08:36.861174
6.61,112,24.31,47.46,31,539.31,32.14,2021-10-23T12:08:36.877790
6.61,112,24.31,47.46,31,539.31,32.14,2021-10-23T12:08:36.896553
6.61,119,24.31,47.46,31,539.31,32.14,2021-10-23T12:08:36.932498
